first_ledger_index,                last_ledger_index,                first_closing_time,                last_closing_time,                num_ledgers,                num_transactions,               Payment tx,               OfferCreate tx,               OfferCancel tx,               TrustSet tx,               AccountSet tx,               accounts_created
700691, 714357, 2013-05-13 00:00:00 +00:00, 2013-05-14 00:00:00 +00:00, 13667, 20021, 11837, 4400, 3463, 315, 6, 124
714357, 728231, 2013-05-14 00:00:00 +00:00, 2013-05-15 00:00:00 +00:00, 13875, 35968, 11693, 7993, 15953, 328, 1, 149
728231, 741774, 2013-05-15 00:00:00 +00:00, 2013-05-16 00:00:00 +00:00, 13544, 24554, 12864, 2246, 9096, 348, 0, 105
741774, 753285, 2013-05-16 00:00:00 +00:00, 2013-05-17 00:00:00 +00:00, 11512, 15344, 8379, 3666, 2752, 547, 0, 148
753285, 761712, 2013-05-17 00:00:00 +00:00, 2013-05-18 00:00:00 +00:00, 8428, 11081, 3368, 4343, 2848, 522, 0, 131
761712, 770515, 2013-05-18 00:00:00 +00:00, 2013-05-19 00:00:00 +00:00, 8804, 9318, 3295, 3553, 2060, 410, 0, 100
770515, 778511, 2013-05-19 00:00:00 +00:00, 2013-05-20 00:00:00 +00:00, 7997, 9085, 2989, 3052, 2602, 442, 0, 106
778511, 786938, 2013-05-20 00:00:00 +00:00, 2013-05-21 00:00:00 +00:00, 8428, 12687, 2607, 5210, 4412, 458, 0, 148
786938, 796386, 2013-05-21 00:00:00 +00:00, 2013-05-22 00:00:00 +00:00, 9449, 27762, 2973, 11268, 13218, 303, 0, 157
796386, 805964, 2013-05-22 00:00:00 +00:00, 2013-05-23 00:00:00 +00:00, 9579, 25618, 3038, 10732, 11520, 328, 0, 310
805964, 816872, 2013-05-23 00:00:00 +00:00, 2013-05-24 00:00:00 +00:00, 10909, 36363, 3250, 15108, 17635, 370, 0, 120
816872, 826542, 2013-05-24 00:00:00 +00:00, 2013-05-25 00:00:00 +00:00, 9671, 27814, 2955, 11515, 13130, 214, 0, 93
826542, 837631, 2013-05-25 00:00:00 +00:00, 2013-05-26 00:00:00 +00:00, 11090, 40192, 2560, 24604, 12827, 201, 0, 58
837631, 845800, 2013-05-26 00:00:00 +00:00, 2013-05-27 00:00:00 +00:00, 8170, 13103, 2709, 5980, 4195, 219, 0, 188
845800, 853322, 2013-05-27 00:00:00 +00:00, 2013-05-28 00:00:00 +00:00, 7523, 10093, 2821, 3792, 3280, 198, 2, 184
853322, 861904, 2013-05-28 00:00:00 +00:00, 2013-05-29 00:00:00 +00:00, 8583, 15410, 3188, 6387, 5613, 222, 0, 123
861904, 869112, 2013-05-29 00:00:00 +00:00, 2013-05-30 00:00:00 +00:00, 7209, 6622, 3037, 1952, 1409, 224, 0, 208
869112, 876448, 2013-05-30 00:00:00 +00:00, 2013-05-31 00:00:00 +00:00, 7337, 7696, 3166, 2380, 1897, 253, 0, 156
876448, 883995, 2013-05-31 00:00:00 +00:00, 2013-06-01 00:00:00 +00:00, 7548, 9479, 2630, 3653, 2839, 357, 0, 121
883995, 896644, 2013-06-01 00:00:00 +00:00, 2013-06-02 00:00:00 +00:00, 12650, 19360, 10910, 4910, 2963, 577, 0, 3979
896644, 907448, 2013-06-02 00:00:00 +00:00, 2013-06-03 00:00:00 +00:00, 10805, 15980, 5992, 5670, 3718, 600, 0, 1237
907448, 917504, 2013-06-03 00:00:00 +00:00, 2013-06-04 00:00:00 +00:00, 10057, 14401, 6246, 4558, 3176, 421, 0, 1441
917504, 927377, 2013-06-04 00:00:00 +00:00, 2013-06-05 00:00:00 +00:00, 9874, 16176, 5898, 5504, 4426, 348, 0, 450
927377, 938337, 2013-06-05 00:00:00 +00:00, 2013-06-06 00:00:00 +00:00, 10961, 19156, 9795, 5086, 3989, 277, 9, 305
938337, 953302, 2013-06-06 00:00:00 +00:00, 2013-06-07 00:00:00 +00:00, 14966, 29272, 19146, 5518, 4293, 315, 0, 224
953302, 969019, 2013-06-07 00:00:00 +00:00, 2013-06-08 00:00:00 +00:00, 15718, 30902, 21669, 5109, 3883, 241, 0, 204
969019, 984532, 2013-06-08 00:00:00 +00:00, 2013-06-09 00:00:00 +00:00, 15514, 29140, 21982, 3916, 3016, 225, 1, 182
984532, 997567, 2013-06-09 00:00:00 +00:00, 2013-06-10 00:00:00 +00:00, 13036, 22077, 13861, 4512, 3491, 212, 1, 148
997567, 1010361, 2013-06-10 00:00:00 +00:00, 2013-06-11 00:00:00 +00:00, 12795, 22228, 17153, 2923, 1953, 199, 0, 228
1010361, 1022372, 2013-06-11 00:00:00 +00:00, 2013-06-12 00:00:00 +00:00, 12012, 21414, 12226, 5090, 3910, 188, 0, 292
1022372, 1031687, 2013-06-12 00:00:00 +00:00, 2013-06-13 00:00:00 +00:00, 9316, 15041, 6145, 4809, 3942, 145, 0, 303
1031687, 1040253, 2013-06-13 00:00:00 +00:00, 2013-06-14 00:00:00 +00:00, 8567, 12788, 4280, 4554, 3695, 259, 0, 114
1040253, 1048463, 2013-06-14 00:00:00 +00:00, 2013-06-14 23:59:50 +00:00, 8211, 9803, 4407, 3023, 2130, 243, 0, 122
1048463, 1055243, 2013-06-14 23:59:50 +00:00, 2013-06-16 00:00:00 +00:00, 6781, 5813, 2582, 1859, 1218, 153, 1, 53
1055243, 1061684, 2013-06-16 00:00:00 +00:00, 2013-06-17 00:00:00 +00:00, 6442, 9186, 1884, 3804, 3368, 125, 5, 53
1061684, 1070462, 2013-06-17 00:00:00 +00:00, 2013-06-18 00:00:00 +00:00, 8779, 13490, 4872, 4610, 3832, 176, 0, 75
1070462, 1080081, 2013-06-18 00:00:00 +00:00, 2013-06-19 00:00:00 +00:00, 9620, 15802, 5968, 5282, 4364, 188, 0, 215
1080082, 1088633, 2013-06-19 00:00:00 +00:00, 2013-06-20 00:00:00 +00:00, 8552, 12776, 5029, 4094, 3491, 162, 0, 72
1088633, 1097629, 2013-06-20 00:00:00 +00:00, 2013-06-21 00:00:00 +00:00, 8997, 14885, 5336, 5097, 4270, 179, 3, 120
1097630, 1106793, 2013-06-21 00:00:00 +00:00, 2013-06-21 23:59:50 +00:00, 9164, 15021, 4414, 5738, 4656, 213, 0, 73
1106793, 1114903, 2013-06-21 23:59:50 +00:00, 2013-06-23 00:00:00 +00:00, 8111, 12308, 4589, 4082, 3484, 153, 0, 39
1114903, 1122624, 2013-06-23 00:00:00 +00:00, 2013-06-24 00:00:00 +00:00, 7722, 12111, 3299, 4711, 3941, 160, 0, 44
1122624, 1130876, 2013-06-24 00:00:00 +00:00, 2013-06-25 00:00:00 +00:00, 8253, 10873, 4087, 3805, 2856, 125, 0, 376
1130876, 1138822, 2013-06-25 00:00:00 +00:00, 2013-06-26 00:00:00 +00:00, 7947, 10737, 3934, 3587, 3044, 172, 0, 77
1138822, 1146627, 2013-06-26 00:00:00 +00:00, 2013-06-27 00:00:00 +00:00, 7806, 8913, 3979, 2675, 2040, 219, 0, 77
1146627, 1154295, 2013-06-27 00:00:00 +00:00, 2013-06-28 00:00:00 +00:00, 7669, 8943, 3705, 2895, 2115, 225, 3, 242
1154295, 1162126, 2013-06-28 00:00:00 +00:00, 2013-06-29 00:00:00 +00:00, 7832, 11458, 5898, 2935, 2363, 262, 0, 90
1162126, 1169609, 2013-06-29 00:00:00 +00:00, 2013-06-30 00:00:00 +00:00, 7484, 8922, 7386, 903, 500, 133, 0, 49
1169609, 1179153, 2013-06-30 00:00:00 +00:00, 2013-07-01 00:00:00 +00:00, 9545, 30717, 4283, 2913, 2338, 21183, 0, 59
1179153, 1187555, 2013-07-01 00:00:00 +00:00, 2013-07-02 00:00:00 +00:00, 8403, 10273, 4323, 3195, 2558, 197, 0, 31
1187555, 1196512, 2013-07-02 00:00:00 +00:00, 2013-07-03 00:00:00 +00:00, 8958, 12676, 5067, 3846, 3634, 129, 0, 265
1196512, 1206835, 2013-07-03 00:00:00 +00:00, 2013-07-04 00:00:00 +00:00, 10324, 121151, 117173, 2057, 1809, 112, 0, 45
1206835, 1216172, 2013-07-04 00:00:00 +00:00, 2013-07-05 00:00:00 +00:00, 9338, 9904, 5256, 2465, 2046, 136, 1, 71
1216172, 1224600, 2013-07-05 00:00:00 +00:00, 2013-07-06 00:00:00 +00:00, 8429, 7882, 3635, 2260, 1800, 187, 0, 45
1224600, 1232302, 2013-07-06 00:00:00 +00:00, 2013-07-07 00:00:00 +00:00, 7703, 8332, 4127, 2075, 1684, 446, 0, 63
1232302, 1239301, 2013-07-07 00:00:00 +00:00, 2013-07-08 00:00:00 +00:00, 7000, 19653, 16522, 1717, 1307, 107, 0, 41
1239301, 1248846, 2013-07-08 00:00:00 +00:00, 2013-07-08 23:59:50 +00:00, 9546, 40258, 34974, 2905, 2207, 172, 0, 25
1248846, 1256741, 2013-07-08 23:59:50 +00:00, 2013-07-10 00:00:00 +00:00, 7896, 7567, 3061, 2400, 1883, 223, 0, 153
1256741, 1265520, 2013-07-10 00:00:00 +00:00, 2013-07-11 00:00:00 +00:00, 8780, 27496, 6765, 18886, 1678, 167, 0, 45
1265520, 1274100, 2013-07-11 00:00:00 +00:00, 2013-07-12 00:00:00 +00:00, 8581, 30370, 2776, 25521, 1898, 174, 0, 35
1274099, 1287689, 2013-07-12 00:00:00 +00:00, 2013-07-13 00:00:00 +00:00, 13591, 47978, 4097, 34713, 9026, 134, 8, 52
1287689, 1297950, 2013-07-13 00:00:00 +00:00, 2013-07-14 00:00:00 +00:00, 10262, 29505, 3891, 21979, 3551, 84, 0, 7
1297950, 1307493, 2013-07-14 00:00:00 +00:00, 2013-07-15 00:00:00 +00:00, 9544, 13543, 2684, 7502, 3296, 61, 0, 28
1307493, 1318918, 2013-07-15 00:00:00 +00:00, 2013-07-16 00:00:00 +00:00, 11426, 14768, 4002, 3491, 7190, 85, 0, 56
1318918, 1332149, 2013-07-16 00:00:00 +00:00, 2013-07-17 00:00:00 +00:00, 13232, 22818, 4745, 11610, 6159, 304, 0, 119
1332149, 1343129, 2013-07-17 00:00:00 +00:00, 2013-07-18 00:00:00 +00:00, 10981, 11951, 3941, 5441, 2408, 161, 0, 93
1343129, 1352594, 2013-07-18 00:00:00 +00:00, 2013-07-19 00:00:00 +00:00, 9466, 9952, 3515, 4982, 1305, 148, 2, 75
1352594, 1364541, 2013-07-19 00:00:00 +00:00, 2013-07-20 00:00:00 +00:00, 11948, 14647, 2963, 9152, 2350, 182, 0, 57
1364541, 1375485, 2013-07-20 00:00:00 +00:00, 2013-07-21 00:00:00 +00:00, 10945, 12500, 2686, 7605, 2066, 142, 1, 23
1375485, 1389643, 2013-07-21 00:00:00 +00:00, 2013-07-22 00:00:00 +00:00, 14159, 627532, 277811, 347510, 2118, 93, 0, 17
1389643, 1406062, 2013-07-22 00:00:00 +00:00, 2013-07-23 00:00:00 +00:00, 16420, 678626, 265456, 410979, 2098, 93, 0, 41
1406062, 1418996, 2013-07-23 00:00:00 +00:00, 2013-07-24 00:00:00 +00:00, 12935, 554609, 247910, 304701, 1920, 78, 0, 16
1418996, 1430005, 2013-07-24 00:00:00 +00:00, 2013-07-25 00:00:00 +00:00, 11010, 391793, 184440, 151489, 748, 55116, 0, 49
1430005, 1439796, 2013-07-25 00:00:00 +00:00, 2013-07-26 00:00:00 +00:00, 9792, 148676, 54697, 50273, 1011, 42691, 4, 76
1439796, 1450034, 2013-07-26 00:00:00 +00:00, 2013-07-27 00:00:00 +00:00, 10239, 11670, 4168, 6370, 993, 139, 0, 74
1450034, 1458957, 2013-07-27 00:00:00 +00:00, 2013-07-27 23:59:50 +00:00, 8924, 8336, 3410, 4190, 634, 102, 0, 57
1458957, 1468258, 2013-07-27 23:59:50 +00:00, 2013-07-29 00:00:00 +00:00, 9302, 13013, 2604, 9097, 1203, 109, 0, 37
1468258, 1476603, 2013-07-29 00:00:00 +00:00, 2013-07-30 00:00:00 +00:00, 8346, 7235, 3731, 2790, 607, 107, 0, 33
1476603, 1485654, 2013-07-30 00:00:00 +00:00, 2013-07-31 00:00:00 +00:00, 9052, 8412, 3452, 4079, 725, 156, 0, 34
1485654, 1493529, 2013-07-31 00:00:00 +00:00, 2013-08-01 00:00:00 +00:00, 7876, 6923, 2603, 3209, 986, 125, 0, 26
1493529, 1507318, 2013-08-01 00:00:00 +00:00, 2013-08-02 00:00:00 +00:00, 13790, 23889, 3277, 11982, 8462, 168, 0, 112
